,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
222,Louisiana,1996,796087.0,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287.0,236616,4.873378160929647,4.792660852394273,2.6106706930272696
223,Maine,1996,213601.0,1485138,78626,647382,759130,1465093,857253,398040,63537.0,62645,6.952860707580957,6.859017513962949,4.013337952537675
224,Maryland,1996,805544.0,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330.0,449601,7.0622064095815995,7.2318904988430175,3.969857636578511
225,Massachusetts,1996,912330.0,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882.0,360126,7.814888253154012,8.198322975239222,4.572656823737025
226,Michigan,1996,1631131.0,13012080,648922,8462687,3900471,13071893,6452165,4205956,691888.0,919074,7.977335971175829,8.01400561941377,3.9556387561759294
227,Minnesota,1996,827418.0,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475.0,762106,7.374043107594952,7.763047214346316,3.8733820148945273
228,Mississippi,1996,503602.0,2241561,295014,1285429,661118,2268726,1238512,599427,166353.0,231093,4.451056588337615,4.504997994447996,2.459307151282163
229,Missouri,1996,873867.0,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616.0,568575,6.008939575473155,6.039574672118297,3.1415741754752156
230,Montana,1996,165390.0,944623,90354,452250,402019,924259,538091,289907,37370.0,48074,5.711487998065179,5.588360844065542,3.2534675615212527
231,Nebraska,1996,289251.0,1909834,100886,574359,1234589,1940808,1067391,497288,71038.0,247543,6.602687631157714,6.709771098457741,3.6901894894053955
232,Nevada,1996,265041.0,1551169,67278,997400,486491,1608989,767237,483238,53033.0,229949,5.852562433736667,6.07071736071023,2.8947860896993296
233,New Hampshire,1996,191004.0,1269380,40622,84837,1143921,1295106,725549,340457,42174.0,97166,6.645829406713996,6.780517685493497,3.7986063119096984
